club_id,club_name,crest_url,delegacion,comarca,cif,registered_address,registered_locality,registered_province,registered_postal_code,correspondence_address,correspondence_locality,correspondence_province,correspondence_postal_code,correspondence_titular,correspondence_tratamiento,correspondence_email,portal_web,twitter,facebook,linkedin,instagram,telefonos,fax,fecha_fundacion,presidente,source_url,scraped_at
1032661,LA MORALEJA C.F.,/pnfg/pimg/Clubes/00100_0000083591_4879_CD_MORALEJA_CF.JPG,DELEGACIÓN DE ALCOBENDAS,,G86548435,"IRIS, 62 (EL SOTO DE LA MORALEJA)",Alcobendas,Madrid,28100,"MARQUES DE LEIS, 20 LOCAL-L",Alcobendas,Madrid,28020,JOSE MANUEL DAVILA ALASTRUE,D.,contacto@moralejacf.com,www.moralejacf.com,@LAMORALEJACF,,,@lamoraleja.cf,687460499,,,JOSE MANUEL DAVILA ALASTRUE,https://www.rffm.es/fichaclub/1032661,2026-08-19T06:45:28.981866+00:00
1032596,C.D. TORRELAGUNA VILLA,/pnfg/pimg/Clubes/00100_0012178959_Escudo_Torrelaguna.png,SUBDELEGACIÓN DE SAN AGUSTÍN DEL GUADALIX,,G87042925,"c/Malvarosa, nº 8",Torrelaguna,Madrid,28180,"c/ Malvarrosa, 8",Torrelaguna,Madrid,28180,Pedro Oscar Saez Pilar,D.,cdtorrelagunavilla1@gmail.com,gema-choopf@hotmail.com,,,,,918430809 - 627909025 - 617433317,,,PEDRO OSCAR SAEZ PILAR,https://www.rffm.es/fichaclub/1032596,2026-08-19T06:45:28.994150+00:00
1032564,C.D. SPORTING LAGUNA,/pnfg/pimg/Clubes/00100_0012170705_WhatsApp_Image_2026_06_11_at_17.03.06.jpeg,DELEGACIÓN COTORRUELO,,G86534377,"C/ ESCALONILLA, 19",Madrid,Madrid,28047,"C/ ESCALONILLA, 19",Madrid,Madrid,28049,,,Info@cdsportinglaguna.com,https://sportinglaguna.es,,,,cdsportinglaguna,663630419 - 602439449 - 640579670,,,RODRIGO CARUS GARCIA-OYANA,https://www.rffm.es/fichaclub/1032564,2026-08-19T06:45:28.998538+00:00
1036,A.D. EL PARDO,/pnfg/pimg/Clubes/00100_0011850897_IMG_6132.PNG,DELEGACIÓN COTORRUELO,,G78353448,CARRETERA COLMENAR S/N,Madrid,Madrid,28048,Calle Bruselas 17,Las Rozas de Madrid,Madrid,28232,CESAR AVILA SUAREZ,D.,oficial.adelpardo@gmail.com,https://oficialadelpardo.wordpress.com/,,,,,651811148 - 651811147 - 665547295,,,CESAR AVILA SUAREZ,https://www.rffm.es/fichaclub/1036,2026-08-19T06:45:30.111341+00:00
1040,C.D. EL ESCORIAL,/pnfg/pimg/Clubes/00100_0011702833_escudo_CD_Escorial.png,DELEGACIÓN DE GALAPAGAR,,G78179710,"C/ NAVAARMADO, S/N",Escorial (El),Madrid,28280,"C/ NAVAARMADO, S/N - POLIDEPORTVO",Madrid,Madrid,28280,JESUSMARTIN SANCHEZ,Sr.,cdescorialoficial@gmail.com,https://www.cdescorial.com,,cdescorialoficial,,,642849969 - 646899308 - 671556516,,,JESUS MARTIN SANCHEZ,https://www.rffm.es/fichaclub/1040,2026-08-19T06:45:30.181045+00:00
1038,A.D. ALCORCON S.A.D.,/pnfg/pimg/Clubes/00100_0010867312_ESCUDO_FED.jpg,DELEGACIÓN DE ALCORCÓN,,A86276367,"Avenida Esteban Márquez, s/n (Estadio Mpal. Santo Domingo)",Alcorcón,Madrid,28922,"Av. Esteban Marquez s/n, Estadio Municipal Santo Domingo",Alcorcón,Madrid,28922,,,cantera@adalcorcon.com,www.adalcorcon.com,,,,,638530564 - 650349834 - 650647088,,,IVAN OLIVER BRAVO MARTIN,https://www.rffm.es/fichaclub/1038,2026-08-19T06:45:30.201112+00:00
1033,VALLECAS C.F.,/pnfg/pimg/Clubes/00100_0011869145_vallecas_escudo__1_.png,DELEGACIÓN VALDEBERNARDO,,G28545275,PUERTO REINOSA Nº2 (Campo Futbol),Madrid,Madrid,28031,PUERTO REINOSA Nº2 (CAMPO FUTBOL),Madrid,Madrid,28031,,,administracion@vallecascf.com,www.vallecascf.com,https://twitter.com/vallecascf,https://www.facebook.com/vallecascf,,https://www.instagram.com/vallecascf/,913311486 - 657958149,,,VICTOR DE CAMBRA ANTON,https://www.rffm.es/fichaclub/1033,2026-08-19T06:45:30.206658+00:00
1045465,C.D. CONDE ORGAZ,/pnfg/pimg/Clubes/00100_0010953403_Escudo_-_Conde_Orgaz_-_RFFM.jpg,DELEGACIÓN VALDEBERNARDO,,G86806189,"AVD. DE LOS ANDES, 22 portal H -1º D",Madrid,Madrid,28042,"Av Champagnat, 2",Madrid,Madrid,28043,LUIS RANCHAL SAMANIEGO,D.,cdcondeorgaz@hotmail.es,,,,,,686166390 - 669077705,,,LUIS RANCHAL SAMANIEGO,https://www.rffm.es/fichaclub/1045465,2026-08-19T06:45:30.668474+00:00
1055224,C.F. COLLADO VILLALBA,/pnfg/pimg/Clubes/00100_0011813686_ESCUDOCFV_NUEVO_VER_3.jpg,DELEGACIÓN DE GALAPAGAR,,G86539848,"ASTURIAS, 19 2ºB",Collado Villalba,Madrid,28400,Calle San Fernando 8 4 F,Collado Villalba,Madrid,28400,Antonio Tudela Salcedo,D.,tudela.salcedo@hotmail.com,www.cfcolladovillalba.com,,,,,659955696 - 615544181 - 670686867&nbsp;-&nbsp;&nbsp;645332887,,,ANTONIO TUDELA SALCEDO,https://www.rffm.es/fichaclub/1055224,2026-08-19T06:45:30.951330+00:00
1051,C.D. UNION DE ARAVACA,/pnfg/pimg/Clubes/00100_0011739573_escudo.png,DELEGACIÓN COTORRUELO,,G79345542,"C/ Olivo, 8 Bajo",Madrid,Madrid,28023,"EL FERROL, 23 5º 5",Madrid,Madrid,28029,ANGEL LORENZO MARTIN,D.,cdunionaravaca1946@gmail.com,https://www.unionaravaca.com/,,,,union_aravaca,614466627 - 610372726,,,ANGEL LORENZO MARTIN,https://www.rffm.es/fichaclub/1051,2026-08-19T06:45:31.317120+00:00
1054,CLUB ESCUELA DE FUTBOL CONCEPCION,/pnfg/pimg/Clubes/00100_0010995681_escudo_conce.jpg,DELEGACIÓN VALDEBERNARDO,,G79979936,"VIRGEN DEL PORTILLO, 8 POSTERIOR",Madrid,Madrid,28027,"VIRGEN DEL PORTILLO, 8 POSTERIOR",Madrid,Madrid,28027,,,oficina@efconcepcion.com,www.efconcepcion.com,,,,https://www.instagram.com/e.f.concepcion_?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,914054428,,,DANIEL ANCA SANTOS,https://www.rffm.es/fichaclub/1054,2026-08-19T06:45:31.800711+00:00
1059,ROMA C.F.,/pnfg/pimg/Clubes/00100_0000000444_1059-roma.jpg,DELEGACIÓN VALDEBERNARDO,,G28856011,"C/ LOS GALEOTES, 5",Madrid,Madrid,28032,"C/ LOS GALEOTES, 5",0,Madrid,28032,,,,,,,,,629874223 - 628422071,,,LUIS PEREIRA RODRIGUEZ,https://www.rffm.es/fichaclub/1059,2026-08-19T06:45:31.805350+00:00
10652216,C.D. RIVAS JARAMA,/pnfg/pimg/Clubes/00100_0011193874_0h7DwM4u_400x400__1____copia.jpg,DELEGACIÓN DE ARGANDA,,G88379151,"HOLANDA,7",Rivas-Vaciamadrid,Madrid,28521,"HOLANDA,7",Rivas-Vaciamadrid,Madrid,28521,JAIME MOYA MORALES,D.,jmormoy@yahoo.es,https://cdrivasjarama.epizy.com/,@CDRivasJarama,,,,644358565 - 690063700,,,JAIME MOYA MORALES,https://www.rffm.es/fichaclub/10652216,2026-08-19T06:45:32.132065+00:00
10652221,C.D.E. PROAS (BAJA TEMP 2025-2026),/pnfg/pimg/Clubes/00100_0011755856_CD_Proas_2024.png,DELEGACIÓN COTORRUELO,,G87162715,"SANTIAGO AMON, 26 Bajo-A",Las Rozas de Madrid,Madrid,28231,"SANTIAGO AMON, 26",Las Rozas de Madrid,Madrid,28231,Club Deportivo Proas,,proasclub@gmail.com,www.cdproas.com,@cdproas,@cdproas,@cdproas,https://www.instagram.com/cdproas/,611443119,,,ALEJANDRO ANTONIO SAGERAS,https://www.rffm.es/fichaclub/10652221,2026-08-19T06:45:32.464226+00:00
10652228,DEPORTIVO ARDOZ,/pnfg/pimg/Clubes/00100_0010965242_Sin_titulo.jpg,DELEGACIÓN DE ALCALÁ DE HENARES,,G88411061,"AVDA. DE LOS FRESNOS, 8 -2º-D",Torrejón De Ardoz,Madrid,28850,"AVDA. DE LOS FRESNOS, 8 -2º-D",Torrejón De Ardoz,Madrid,28850,Antonio Mediavilla,D.,amediavilla@clubdeportivoardoz.es,www.deportivoardoz.es,,,,,629256262 - 6294444552,,,ANTONIO MEDIAVILLA FONTALIVE,https://www.rffm.es/fichaclub/10652228,2026-08-19T06:45:32.624686+00:00
1052,ATLETICO LEONES DE CASTILLA,/pnfg/pimg/Clubes/00100_0000000441_1052-at.leones%20castilla.jpg,DELEGACIÓN DE GALAPAGAR,,G80314644,"CARRETERA DEL ESCORIAL, S/N (CENTRO DTVO. GUADARRAMA)",Guadarrama,Madrid,28440,"CARRETERA DEL ESCORIAL, S/N (CENTRO DTVO. GUADARRAMA)",Guadarrama,Madrid,28440,,,club@leonesdecastilla.com,http://www.leonesdecastilla.com,,,,,918543105 - 630046830 - 676494435,918543105,,FRANCISCO MASET SUANZES,https://www.rffm.es/fichaclub/1052,2026-08-19T06:45:32.714228+00:00
10657086,C.D. INDEPENDIENTE DE VALLECAS,/pnfg/pimg/Clubes/00100_0010962853_logo-CDIV-FONFO_BLANCO.jpg,DELEGACIÓN VALDEBERNARDO,,G88356290,"Arroyo del Olivar, 53",Madrid,Madrid,28018,Arroyo del Olivar 53 (Pub Pon de Beber),Madrid,Madrid,28018,,,info@independientedevallecas.com,www.independientedevallecas.com,,,,,613004897,,,DANIEL CAMARA MELERO,https://www.rffm.es/fichaclub/10657086,2026-08-19T06:45:32.888084+00:00
10652233,C.D. FUENLABRADA ATLANTIS,/pnfg/pimg/Clubes/00100_0011108782_LOGO_ATLANTIS_1.png,DELEGACIÓN DE FUENLABRADA,,G88188941,"Galicia, 16",Fuenlabrada,Madrid,28942,"Galicia, 16",Fuenlabrada,Madrid,28942,,,info@fuenlatlantis.es,www.fuenlatlantis.es,,,,,639001980 - 628413826,,,ISMAEL GONZALEZ CASTRO,https://www.rffm.es/fichaclub/10652233,2026-08-19T06:45:32.893274+00:00
10652240,C.D. SP&AL SERRANILLOS,/pnfg/pimg/Clubes/00100_0012139056_Sedes_EFSPALSerra.png,DELEGACIÓN DE FUENLABRADA,,G88313481,"La plaza, 31 - Local-",Fuenlabrada,Madrid,28945,"La plaza, 31 - Local -",Fuenlabrada,Madrid,28945,,,dllorente@escuelapachonlopez.es,https://escuelapachonlopez.es/,,,,,666 403 974 - 600424664,,,CAROLINA TAVERO SERRANO,https://www.rffm.es/fichaclub/10652240,2026-08-19T06:45:33.219419+00:00
1037,ALCOBENDAS C.F.,/pnfg/pimg/Clubes/00100_0011756754_LOGO_ALCOBENDAS_ORIGINAL_2024.jpg,DELEGACIÓN DE ALCOBENDAS,,G28579977,"Miguel de Cervantes, 4 (Ciudad Deportiva Valdelasfuentes)",Alcobendas,Madrid,28100,"Avda. de la Transicion, s/n - POLIDEP. JOSE CABALLERO",Alcobendas,Madrid,28100,,,admon@adalcobendascf.com,www.adalcobendascf.com,,,,,91138349 - 630018640 - 635441337,,,ALBERTO PEREZ BORRACHERO,https://www.rffm.es/fichaclub/1037,2026-08-19T06:45:33.522775+00:00
10658402,U.D. ARROYOFRESNO,/pnfg/pimg/Clubes/00100_0010962925_escudo_RGB.png,DELEGACIÓN VALDEBERNARDO,,G87914859,"Cerro Minguete,156",Madrid,Madrid,28035,"Cerro Minguete,156",Madrid,Madrid,28035,U.D. ARROYOFRESNO,,futbol.udarroyofresno@gmail.com,www.udarroyofresno.com,,,,,637417228 - 676641063,,,JUAN JOSE COLLADO BARBERO,https://www.rffm.es/fichaclub/10658402,2026-08-19T06:45:33.970057+00:00
10664234,C.D. GETAFE FEMENINO,/pnfg/pimg/Clubes/00100_0011014417_Screenshot_20200707_144501.jpg,DELEGACIÓN DE GETAFE,,G88397740,"Guarda Cuidadosa, 6 Portal.7 4ºB",Getafe,Madrid,28906,AVENIDA MENENDEZ PELAYO 83 ESCALERA IZQUIERDA 1º B,Madrid,Madrid,28007,,Sin Tratramiento,info@getafem.es,www.getafem.es,,,,,639211173 - 639751446 - 685226072,,,MIGUEL CABELLO MARTINEZ,https://www.rffm.es/fichaclub/10664234,2026-08-19T06:45:33.972968+00:00
10662814,C.D.E. DE FUTBOL INTER VICTORIA,/pnfg/pimg/Clubes/00100_0012183227_ESCUDO_INTER_VICTORIA.jpg,DELEGACIÓN VALDEBERNARDO,,G88401526,"Alcala de Guadaira, 2 - 8º - izd.",Madrid,Madrid,28018,"Alcala de Guadaira, 2 -8º - izd.",Madrid,Madrid,28018,SANTIAGO MARTIN DE FRUTOS,D.,cdefintervictoria@gmail.com,www.cdefintervictoria.com,,,,@cdefintervictoria,685983120 - 655499882 - 620650348,,,SANTIAGO MARTIN DE FRUTOS,https://www.rffm.es/fichaclub/10662814,2026-08-19T06:45:34.377021+00:00
10663621,S.A.D. IVERO,/pnfg/pimg/Clubes/00100_0011018863_Logo_JPG.jpg,DELEGACIÓN DE PINTO,,G87107843,"Relug, 8 -Bajo",Valdemoro,Madrid,28341,"Relug, 8 - Bajo",Valdemoro,Madrid,28341,VERONICA MANZANERO GRIÑON,Dª,adivero@hotmail.com,http://adivero.es,@IveroValdemoro,@IveroAd,,@s.a.d.ivero,685815319 - 638085159,,,IVAN GALVEZ DIAZ,https://www.rffm.es/fichaclub/10663621,2026-08-19T06:45:34.461511+00:00
10664183,C.D. UGENA EFM,/pnfg/pimg/Clubes/00100_0011784990_ugena.png,DELEGACIÓN DE FUENLABRADA,,G88403910,"Bélgica, 7 -2º A",Fuenlabrada,Madrid,28942,C/Soria nº1 8ºC,Madrid,Madrid,28943,,Sr.,tomas85mr@hotmail.com,,,,,,675963649 - 695810493,,,TOMAS MUÑOZ RAMOS,https://www.rffm.es/fichaclub/10664183,2026-08-19T06:45:34.650969+00:00
10664651,C.D.E. GOPAD,/pnfg/pimg/Clubes/00100_0011733653_FondoGopad.png,DELEGACIÓN DE GALAPAGAR,,G84835495,"Santa Barbara, 13 3ºA",Majadahonda,Madrid,28220,"Trav. Santa Ana, 25 2ºF IZQ.",Majadahonda,Madrid,28220,Javier Lázaro,Sr.,cdegopad@gmail.com,https://gopad.blogspot.com,,cdegopad@facebook.com,,,615681578 - 636563907 - 622776127,,,JAVIER LAZARO MARTINEZ,https://www.rffm.es/fichaclub/10664651,2026-08-19T06:45:35.069000+00:00
10664898,C.D. ASOC RETIRO SUR,/pnfg/pimg/Clubes/00100_0010963772_5146_asoc.retiro_sur.jpg,DELEGACIÓN COTORRUELO,,G87639423,"Alfonso xII, 42 -Bajo",Madrid,Madrid,28014,"Alfonso xII, 42 -Bajo",Madrid,Madrid,28014,CLUB DEPORTIVO ASOC RETIRO SUR,,cdretirosur@hotmail.com,cdretirosur.com,cdretirosur,,,,617044460 - 627818893,,,FRANCISCO SALINAS GUTIERREZ,https://www.rffm.es/fichaclub/10664898,2026-08-19T06:45:35.163677+00:00
10667086,C.D. MAKAVI - LA AVANZADA,/pnfg/pimg/Clubes/00100_0011203363_escudo_makavi_2021.jpg,DELEGACIÓN DE FUENLABRADA,,,"HABANA, 52. 6º C",Fuenlabrada,Madrid,28945,"HABANA, 52. 6º C",Fuenlabrada,Madrid,28945,RAFAEL GOMEZ RODRIGUEZ,D.,rafaeltlc@protonmail.com,,,,,,645661285 - 671919326,,,RAFAEL GOMEZ RODRIGUEZ,https://www.rffm.es/fichaclub/10667086,2026-08-19T06:45:35.617374+00:00
10667330,C.D. SANFER19,/pnfg/pimg/Clubes/00100_0010962467_ESCUDO.png,DELEGACIÓN DE ALCALÁ DE HENARES,,G88445010,"Beasain, 5",San Fernando De Henares,Madrid,28830,CALLE BEASAIN 5 2ºB,San Fernando De Henares,Madrid,28830,JORGE FERNANDEZ MUÑOZ,Sin Tratramiento,cdesanfer19@gmail.com,,,,,,658466795,,,JORGE FERNANDEZ MUÑOZ,https://www.rffm.es/fichaclub/10667330,2026-08-19T06:45:36.215671+00:00
1067,S.A.D. FUNDACIÓN C.D. RECUERDO,/pnfg/pimg/Clubes/00100_0000000445_1067-recuerdo.jpg,DELEGACIÓN COTORRUELO,,G84510585,"PZA. DUQUE DE PASTRANA, 5 (EDIF.C)",Madrid,Madrid,28036,"PLAZA DUQUE DE PASTRANA, 5 (Edificio C)",Madrid,Madrid,28036,FÚTBOL RECUERDO,,,,,,,,913022640,913839668,,ANTONIO VERA GONZALEZ,https://www.rffm.es/fichaclub/1067,2026-08-19T06:45:36.376283+00:00
1070,U.D. SAN SEBASTIAN DE LOS REYES S.A.D.,/pnfg/pimg/Clubes/00100_0000079443_descarga_(12).jpg,DELEGACION DE SAN SEBASTIAN DE LOS REYES,,G28630606,"AVDA. MATAPIÑONERAS, S/N",San Sebastián De Los Reyes,Madrid,28703,"AVDA. MATAPIÑONERA, S/N",San Sebastián De Los Reyes,Madrid,28703,,,info@ud-sanse.com,www.ud-sanse.com,,,,,916518654,,,JAVIER GOMEZ FERNANDEZ,https://www.rffm.es/fichaclub/1070,2026-08-19T06:45:36.381717+00:00
1072,A.D. VILLAVICIOSA DE ODON,/pnfg/pimg/Clubes/00100_0011736589_logo_actualizado.png,DELEGACIÓN DE ALCORCÓN,,G79772422,"ALEXANDER GRAHAM BELL, S/N",Villaviciosa De Odón,Madrid,28670,,Villaviciosa De Odón,Madrid,28670,,D.,info@advillaviciosadeodon.com,www.advillaviciosadeodon.com,,,,,916165076,916165076,,FRANCISCO JAVIER MORA ENCINAS,https://www.rffm.es/fichaclub/1072,2026-08-19T06:45:36.646997+00:00
10724765,C.D. MARAZUELA LAS ROZAS,/pnfg/pimg/Clubes/00100_0012178270_BC1AAF9C_647F_4758_83B5_BC76E90C8FE8.png,DELEGACIÓN DE GALAPAGAR,,G42923300,"MORCUERA, Nº 10 - 1º -",Las Rozas de Madrid,Madrid,28231,"MORCUERA, Nº 10 - 1º -",Las Rozas de Madrid,Madrid,28231,Jorge maset suanzes,D.,joe_maset_1990@hotmail.com,,,MARAZUELA LAS ROZAS,,,659427215 - 676783060,,,JORGE MASET SUANZES,https://www.rffm.es/fichaclub/10724765,2026-08-19T06:45:36.877370+00:00
1071,C.D. VILLA DEL PRADO,/pnfg/pimg/Clubes/00100_0012155447_Captura_de_pantalla_2026_06_01_101534.png,SUBDELEGACIÓN DE NAVAS DEL REY,,G84143957,"Plaza Mayor, 1",Villa Del Prado,Madrid,28630,Plaza Mayor 1,Villa Del Prado,Madrid,28630,,Sr.,info.cdvilladelprado@gmail.com,,https://twitter.com/cdvilladelprado?lang=es,https://www.facebook.com/ClubDeportivoVillaDelPrado/,,,636477781 - 669900005 - 623572377,,,LUIS ESTEVEZ DURAN,https://www.rffm.es/fichaclub/1071,2026-08-19T06:45:36.935701+00:00
1077,C.D. GALAPAGAR,/pnfg/pimg/Clubes/00100_0011078749_Escudo_CDG.png,DELEGACIÓN DE GALAPAGAR,,G28563658,"GUADARRAMA, 129",Galapagar,Madrid,28260,"GUADARRAMA, 129",Galapagar,Madrid,28260,Jorge Greciano Fernández,D.,cdgalapagar@gmail.com,www.cdgalapagar.com,,,,,918526466 - 696390512,,,JORGE ANTONIO GRECIANO FERNANDEZ,https://www.rffm.es/fichaclub/1077,2026-08-19T06:45:36.995046+00:00
1081,ATLETICO CERCEDILLA,/pnfg/pimg/Clubes/00100_0000000450_1081-at.cercedilla.jpg,DELEGACIÓN DE GALAPAGAR,,G79749073,"AVDA. SIERRA DE GUADARRAMA, 2",Cercedilla,Madrid,28470,"C/ MANUEL GONZÁLEZ AMEZÚA, 18",Cercedilla,Madrid,28470,MARIA YOLANDA RICO BARCIA,Sra.,clubat.cercedilla74@gmail.com,,,,,,650888242 - 616927575,,,MARIA YOLANDA RICO BARCIA,https://www.rffm.es/fichaclub/1081,2026-08-19T06:45:37.117344+00:00
10816163,CLUB DE ATLETISMO LOS OLMOS,/pnfg/pimg/Clubes/00100_0011210719_WhatsApp_Image_2019_06_03_at_10.40.26.jpeg,DELEGACIÓN VALDEBERNARDO,,A28126597,"LOS ASTROS, 13",Madrid,Madrid,28007,"LOS ASTROS, 13",Madrid,Madrid,28007,NICOLAU ROIG TIÓ,D.,lolm_extraescolares@fomento.edu,,,,,,914009860 - 685307018,,,NICOLAU ROIG TIÓ,https://www.rffm.es/fichaclub/10816163,2026-08-19T06:45:37.436708+00:00
1083,C.D. SAN ROQUE E.F.F.,/pnfg/pimg/Clubes/00100_0011114778_325CEB7E_6B15_4AEF_B6B5_C818521FA4A3.jpeg,DELEGACIÓN VALDEBERNARDO,,G80588098,"BAHIA DE MALAGA, 5",Madrid,Madrid,28042,C/ Bahía de Malaga 5,Madrid,Madrid,28042,,D.,info.cdsanroqueeff@gmail.com,cdsanroqueeff.com,,,,,617979233 - 690903947,,,JESICA SANCHEZ VERA,https://www.rffm.es/fichaclub/1083,2026-08-19T06:45:37.742812+00:00
1084,CLUB SAN AGUSTIN,/pnfg/pimg/Clubes/00100_0000000205_1084-san%20agustin.gif,DELEGACIÓN COTORRUELO,,G81357760,"Padre Damian, 18",Madrid,Madrid,28036,"PADRE DAMIAN, 18 (COLEGIO)",Madrid,Madrid,28036,,,,,,,,,609788634 - 609788634,913441271,,ILDEFONSO TRIGUEROS BUENA,https://www.rffm.es/fichaclub/1084,2026-08-19T06:45:37.910363+00:00
